328PB, 12.95, 19.81, 0.00, MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0, MICROCHIP_ATMEGA328PB-AU_0
C10, 19.81, 13.21, 0.00, 0.1uF, C0805K
C2, 13.72, 5.59, 180.00, 4700pF, C0805K
C3, 6.35, 19.30, 90.00, 100nF, C0805K
C4, 25.91, 22.61, 180.00, 100nF, C0805K
C5, 21.59, 16.00, 0.00, 10uF, C0805K
C6, 27.43, 17.27, 0.00, 10uF, C0805K
C7, 18.29, 6.60, 180.00, 4700pF, C0805K
C8, 19.56, 10.67, 0.00, 0.1uF, C0805K
C9, 13.65, 13.08, 0.00, 0.1uF, C0805K
R1, 22.35, 6.92, 0.00, 330, R0805
R2, 26.42, 19.56, 0.00, 330, R0805
R3, 12.70, 3.24, 0.00, 10k, R0805
U$2, 28.85, 22.96, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 8.94, 5.49, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 26.16, 12.45, 180.00, TLV1117-33IDCY, SOT230P700X180-4N
U2, 13.21, 9.40, 270.00, ADXL327BCPZ-RL7CP_16_5A_ADI-M, CP_16_5A_ADI-M
